query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
edt adalah,0,0,0,,206,0,206,0.0,0.0,,11.3,,,0,0,0,354,stable,other,False
cara buat hb dosting sendiri,0,0,0,,205,23,182,0.0,0.0,,5.9,5.5,0.4,0,0,0,228,stable,informational,False
parfum inspired artinya,0,0,0,,202,228,-26,0.0,0.0,,6.7,6.0,0.7,0,0,0,499,stable,other,False
pabrik parfum surabaya,4,2,2,100.0,190,250,-60,2.11,0.8,1.31,10.9,6.9,3.9,2,1,7,612,growing,commercial,False
cara meracik hb dosting,1,0,1,100,181,12,169,0.55,0.0,,8.2,4.9,3.2,0,1,1,193,declining,informational,False
perbedaan edt dan edp,0,0,0,,174,0,174,0.0,0.0,,11.6,,,0,0,0,458,stable,comparison,False
maklon parfum jakarta,4,9,-5,-55.6,161,125,36,2.48,7.2,-4.72,8.4,11.8,-3.4,1,1,16,364,stable,commercial,False
maklon body care,2,0,2,100,160,224,-64,1.25,0.0,,13.0,20.8,-7.9,0,0,2,563,stable,commercial,False
dosting adalah,0,0,0,,152,125,27,0.0,0.0,,8.8,1.0,7.8,0,0,0,277,stable,other,False
maklon kosmetik bandung,2,2,0,0.0,151,145,6,1.32,1.38,-0.05,11.6,12.0,-0.4,0,1,4,315,declining,commercial,False
perbedaan moisturizer gel dan cream,1,0,1,100,149,116,33,0.67,0.0,,7.8,9.9,-2.0,0,0,1,332,stable,comparison,False
alat pengencang wajah terbaik,2,9,-7,-77.8,145,219,-74,1.38,4.11,-2.73,5.7,1.6,4.1,0,1,16,518,declining,other,False
cysteamine adalah,0,0,0,,142,0,142,0.0,0.0,,11.7,,,0,0,0,150,stable,other,False
perbedaan edp edt,0,0,0,,142,0,142,0.0,0.0,,10.2,,,0,0,0,244,stable,comparison,False
cara menambahkan link produk di reels instagram,6,4,2,50.0,141,244,-103,4.26,1.64,2.62,6.0,2.4,3.6,0,0,15,525,stable,informational,False
maklon parfum moq rendah,6,10,-4,-40.0,139,155,-16,4.32,6.45,-2.14,8.2,7.1,1.1,3,1,16,296,growing,pricing,False
maklon skincare baby,1,0,1,100,138,171,-33,0.72,0.0,,8.1,16.6,-8.5,1,0,1,623,growing,commercial,False
resep racikan handbody pemutih kulit,0,0,0,,137,2,135,0.0,0.0,,7.3,11.5,-4.2,0,0,0,139,stable,other,False
maklon surabaya,6,4,2,50.0,136,87,49,4.41,4.6,-0.19,4.9,6.0,-1.0,2,1,15,358,growing,commercial,False
cara membuat handbody racikan sendiri,0,0,0,,135,2,133,0.0,0.0,,8.2,1.0,7.2,0,0,0,137,stable,informational,False
maklon lipstik,0,0,0,,130,31,99,0.0,0.0,,10.0,7.1,2.9,0,0,0,161,stable,commercial,False
inspired parfum artinya,1,1,0,0.0,130,228,-98,0.77,0.44,0.33,6.5,5.5,1.0,0,0,2,411,stable,other,False
apa itu parfum inspired,0,0,0,,126,49,77,0.0,0.0,,7.3,4.7,2.6,0,0,0,175,stable,informational,False
keranjang putih instagram,3,3,0,0.0,123,196,-73,2.44,1.53,0.91,8.6,4.1,4.5,0,0,7,352,stable,other,False
maklon kosmetik jawa timur,3,3,0,0.0,122,125,-3,2.46,2.4,0.06,7.0,15.6,-8.6,1,1,12,471,stable,commercial,False
maklon terbaik di indonesia,2,0,2,100,120,22,98,1.67,0.0,,7.4,10.6,-3.2,2,0,2,143,growing,commercial,False
copywriting kosmetik,0,0,0,,120,166,-46,0.0,0.0,,6.3,7.4,-1.1,0,0,0,495,stable,other,False
cara menautkan produk di instagram,2,5,-3,-60.0,111,184,-73,1.8,2.72,-0.92,5.7,2.4,3.3,0,1,8,411,declining,informational,False
pabrik maklon kosmetik surabaya,0,1,-1,-100.0,111,111,0,0.75,0.9,-0.15,11.2,11.8,-0.7,0,0,2,267,stable,commercial,False
cara meracik handbody pemutih yang aman,2,0,2,100,110,0,110,1.82,0.0,,8.1,,,1,1,2,110,stable,informational,False
perusahaan kosmetik di surabaya,2,0,2,100,110,91,19,1.82,0.0,,16.7,11.3,5.4,0,0,4,278,stable,local,False
edp itu apa,0,0,0,,110,0,110,0.0,0.0,,12.3,,,0,0,0,113,stable,informational,False
3 basic skincare pria,1,1,0,0.0,106,85,21,0.94,1.18,-0.23,8.0,6.3,1.7,0,0,3,374,stable,other,False
racikan handbody pemutih yang aman,0,0,0,,106,0,106,0.0,0.0,,9.6,,,0,0,0,106,stable,other,False
cara memunculkan tautan produk di instagram,5,17,-12,-70.6,105,183,-78,4.76,9.29,-4.53,4.3,2.3,2.0,0,1,25,349,declining,informational,False
apa itu edp,0,0,0,,103,0,103,0.0,0.0,,11.7,,,0,0,0,157,stable,informational,False
pabrik maklon skincare,0,0,0,,103,5,98,0.0,0.0,,16.5,40.4,-23.9,0,0,0,114,stable,commercial,False
maklon skincare terbaik di indonesia,6,1,5,500.0,102,76,26,5.88,1.32,4.57,4.8,4.1,0.7,4,1,8,206,growing,commercial,False
