url,page_type,business_intent,gsc_status,historical_clicks,historical_impressions,current_clicks,current_impressions,http_status,redirect_destination,canonical,in_sitemap,internal_inlinks,root_cause,primary_action,secondary_action,priority,confidence,validation_method,expected_result,notes
https://dreamlab.id/our-client/,social_proof,commercial,indexed,0,21,0,15,200,,self,YES,42,healthy,NO_ACTION,KEEP_MONITOR,P3,High,GSC performance,Stable,Healthy page
https://dreamlab.id/career/,career,informational,indexed,1,42,4,46,200,,self,YES,43,healthy,NO_ACTION,KEEP_MONITOR,P3,High,GSC performance,Stable,Healthy page
https://dreamlab.id/terms-of-service/,legal,informational,indexed,0,10,0,3,200,,self,YES,42,healthy,NO_ACTION,KEEP_MONITOR,P3,High,GSC performance,Stable,Legal page
https://dreamlab.id/privacy-policy/,legal,informational,indexed,0,11,0,3,200,,self,YES,43,healthy,NO_ACTION,KEEP_MONITOR,P3,High,GSC performance,Stable,Legal page
https://dreamlab.id/news-blog/,blog_hub,informational,indexed,0,19,0,11,200,,self,YES,83,healthy,NO_ACTION,KEEP_MONITOR,P3,High,GSC performance,Stable,Healthy page
https://dreamlab.id/panduan/,guide,commercial,indexed,0,0,0,3,200,,self,YES,45,ranking,ADD_INTERNAL_LINKS,KEEP_MONITOR,P2,Medium,GSC performance,Improve visibility,New guide section needs links
https://dreamlab.id/produk/skincare/,product_category,commercial,indexed,0,27,0,13,200,,self,YES,51,canonical,FIX_CANONICAL,ADD_INTERNAL_LINKS,P1,High,URL Inspection,Secure canonical,Check Google-selected canonical
https://dreamlab.id/produk/parfum/,product_category,commercial,indexed,1,126,2,96,200,,self,YES,50,healthy,NO_ACTION,KEEP_MONITOR,P2,High,GSC performance,Stable,Good performance
https://dreamlab.id/produk/bodycare/,product_category,commercial,indexed,0,19,0,13,200,,self,YES,42,canonical,FIX_CANONICAL,ADD_INTERNAL_LINKS,P1,High,URL Inspection,Secure canonical,Check Google-selected canonical
https://dreamlab.id/produk/haircare/,product_category,commercial,indexed,0,7,0,8,200,,self,YES,42,ranking,ADD_INTERNAL_LINKS,KEEP_MONITOR,P2,Medium,GSC performance,Improve visibility,Low impressions
https://dreamlab.id/produk/babycare/,product_category,commercial,indexed,0,37,3,47,200,,self,YES,18,healthy,NO_ACTION,KEEP_MONITOR,P2,High,GSC performance,Stable,Growing impressions
https://dreamlab.id/produk/decorative/,product_category,commercial,indexed,0,6,0,8,200,,self,YES,14,ranking,ADD_INTERNAL_LINKS,KEEP_MONITOR,P2,Medium,GSC performance,Improve visibility,Low impressions
https://dreamlab.id/produk/footcare/,product_category,commercial,indexed,0,2,0,5,200,,self,YES,14,ranking,ADD_INTERNAL_LINKS,KEEP_MONITOR,P2,Medium,GSC performance,Improve visibility,Low impressions
https://dreamlab.id/produk/pkrt/,product_category,commercial,indexed,0,7,0,11,200,,self,YES,10,healthy,NO_ACTION,KEEP_MONITOR,P3,High,GSC performance,Stable,Niche product category
https://dreamlab.id/category/maklon-kosmetik/,category,commercial,indexed,0,0,0,0,200,,self,YES,307,healthy,NO_ACTION,KEEP_MONITOR,P3,High,GSC performance,Stable,Category hub
https://dreamlab.id/category/panduan-bisnis-kosmetik/,category,commercial,indexed,0,0,0,0,200,,self,YES,322,healthy,NO_ACTION,KEEP_MONITOR,P3,High,GSC performance,Stable,Category hub
https://dreamlab.id/category/dreamlabpedia/,category,informational,indexed,0,1,0,0,200,,self,YES,47,healthy,NO_ACTION,KEEP_MONITOR,P3,High,GSC performance,Stable,Category hub
https://dreamlab.id/maklon-parfum/,legacy_service,commercial,redirect,unknown,unknown,unknown,unknown,308,/google-ads/maklon-parfum/,missing,NO,unknown,redirect_wrong_destination,FIX_REDIRECT,REQUEST_INDEXING,P0,High,URL Inspection after change,Restore organic equity,"Redirect to /parfum/ or restore page; CRITICAL"
https://dreamlab.id/maklon-face-mist/,legacy_article,commercial,redirect,unknown,unknown,unknown,unknown,308,/produk/skincare/,/produk/skincare/,NO,unknown,redirect_wrong_destination,FIX_REDIRECT,REQUEST_INDEXING,P0,High,URL Inspection after change,Restore specific page intent,"Redirect to dedicated face mist page or /produk/skincare/facial-toner/"
https://dreamlab.id/pabrik-parfum-surabaya/,legacy_article,commercial,redirect,unknown,unknown,unknown,unknown,308,/produk/parfum/,/produk/parfum/,NO,unknown,redirect_wrong_destination,FIX_REDIRECT,REQUEST_INDEXING,P0,High,URL Inspection after change,Restore location-specific equity,Redirect loses location intent
https://dreamlab.id/maklon-kosmetik-jakarta-dreamlab-2026/,legacy_article,commercial,redirect,unknown,unknown,unknown,unknown,308,/maklon-jakarta-terbaik/,/maklon-jakarta-terbaik/,NO,unknown,redirect_acceptable,KEEP_AND_MONITOR,URL Inspection,P1,Medium,URL Inspection + performance,Verify intent match,Acceptable if destination matches intent
https://dreamlab.id/maklon-kosmetik-parfum-tangerang/,legacy_article,commercial,redirect,unknown,unknown,unknown,unknown,308,/maklon-kosmetik-tangerang-terpercaya/,/maklon-kosmetik-tangerang-terpercaya/,NO,unknown,redirect_acceptable,KEEP_AND_MONITOR,URL Inspection,P1,Medium,URL Inspection + performance,Verify intent match,Good redirect
https://dreamlab.id/maklon-moisturizer-bpom-dreamlab/,legacy_article,commercial,redirect,unknown,unknown,unknown,unknown,308,/produk/skincare/,/produk/skincare/,NO,unknown,redirect_wrong_destination,FIX_REDIRECT,REQUEST_INDEXING,P1,High,URL Inspection after change,Restore specific page equity,Redirect too generic
https://dreamlab.id/pabrik-parfum-jakarta/,location_service,commercial,indexed,0,49,1,34,200,,self,YES,62,ranking,ADD_INTERNAL_LINKS,KEEP_MONITOR,P1,Medium,GSC performance,Improve position,Good page needs more links
https://dreamlab.id/perusahaan-maklon-kosmetik/,service,commercial,indexed,0,21,0,26,200,,self,YES,67,healthy,NO_ACTION,KEEP_MONITOR,P2,High,GSC performance,Stable,Good page
https://dreamlab.id/pabrik-shampoo-merek-sendiri/,service,commercial,indexed,0,18,1,29,200,,self,YES,64,healthy,NO_ACTION,KEEP_MONITOR,P2,High,GSC performance,Stable,Growing
https://dreamlab.id/pabrik-maklon-kosmetik-sidoarjo-dreamlab/,service,commercial,indexed,0,42,3,35,200,,self,YES,64,healthy,NO_ACTION,KEEP_MONITOR,P2,High,GSC performance,Stable,Good page
https://dreamlab.id/maklon-kosmetik-tangerang-terpercaya/,service,commercial,indexed,2,42,0,38,200,,self,YES,72,ranking,ADD_INTERNAL_LINKS,KEEP_MONITOR,P1,Medium,GSC performance,Improve position,Slight decline
https://dreamlab.id/jasa-maklon-kosmetik-bandung/,service,commercial,indexed,0,41,0,47,200,,self,YES,66,healthy,NO_ACTION,KEEP_MONITOR,P2,High,GSC performance,Stable,Growing
https://dreamlab.id/jasa-maklon-lipstik-bpom-terpercaya/,service,commercial,indexed,0,48,3,37,200,,self,YES,68,healthy,NO_ACTION,KEEP_MONITOR,P2,High,GSC performance,Stable,Good page
https://dreamlab.id/panduan-maklon-deodorant-bpom/,service,commercial,indexed,0,42,4,50,200,,self,YES,74,healthy,NO_ACTION,KEEP_MONITOR,P2,High,GSC performance,Stable,Growing
https://dreamlab.id/pabrik-parfum/,service,commercial,indexed,0,0,0,9,200,,self,YES,0,ranking,ADD_INTERNAL_LINKS,REQUEST_INDEXING,P1,High,URL Inspection + GSC,Get indexed and ranking,New page not yet indexed
https://dreamlab.id/pabrik-kosmetik/,service,commercial,indexed,0,0,0,12,200,,self,YES,0,ranking,ADD_INTERNAL_LINKS,REQUEST_INDEXING,P1,High,URL Inspection + GSC,Get indexed and ranking,New page not yet indexed
https://dreamlab.id/jasa-maklon-kosmetik/,service,commercial,indexed,0,0,0,9,200,,self,YES,0,ranking,ADD_INTERNAL_LINKS,REQUEST_INDEXING,P1,High,URL Inspection + GSC,Get indexed and ranking,New page not yet indexed
https://dreamlab.id/private-label-kosmetik/,service,commercial,indexed,0,0,0,16,200,,self,YES,0,ranking,ADD_INTERNAL_LINKS,REQUEST_INDEXING,P1,High,URL Inspection + GSC,Get indexed and ranking,New page not yet indexed
https://dreamlab.id/estimasi-biaya-maklon-kosmetik/,service,commercial,indexed,0,0,0,21,200,,self,YES,0,ranking,ADD_INTERNAL_LINKS,REQUEST_INDEXING,P1,High,URL Inspection + GSC,Get indexed and ranking,New page growing fast
https://dreamlab.id/moq-maklon-kosmetik/,service,commercial,indexed,0,0,0,0,200,,self,YES,0,indexing,ADD_INTERNAL_LINKS,REQUEST_INDEXING,P1,High,URL Inspection,Get indexed,New page not yet in performance
https://dreamlab.id/biaya-maklon-skincare/,service,commercial,indexed,0,6,0,7,200,,self,YES,0,healthy,NO_ACTION,KEEP_MONITOR,P2,Medium,GSC performance,Stable,Low traffic but indexed
https://dreamlab.id/category/dreampreneur-beauty-academy/,category,informational,noindex,0,0,0,2,200,,self,YES,46,expected_noindex,KEEP_NOINDEX,REMOVE_FROM_SITEMAP,P2,High,URL Inspection,Keep current behavior,Intentionally noindexed
https://dreamlab.id/category/event/,category,none,404,0,0,0,0,404,,none,NO,0,expected_404,LEAVE_404,REMOVE_FROM_SITEMAP,P3,High,GSC issue count decay,No action needed,No traffic
https://dreamlab.id/dreampreneur-beauty-academy-surabaya-2026/,legacy,none,404,0,0,0,0,404,,none,NO,0,expected_404,RETURN_410,REMOVE_FROM_SITEMAP,P3,High,GSC issue count decay,No action needed,No traffic
https://dreamlab.id/author/admin/,author,informational,indexed,0,0,0,0,200,,self,YES,42,expected_indexed,KEEP_NOACTION,REMOVE_FROM_SITEMAP,P3,Medium,URL Inspection,Keep current,Author page
https://dreamlab.id/maklon-bodymist/,article,commercial,indexed,0,4,1,6,200,,self,YES,66,healthy,KEEP_AND_IMPROVE,ADD_INTERNAL_LINKS,P2,High,GSC performance,Stable,Good article
