url,normalized_url,source,page_type,content_type,business_intent,funnel,current_http_status,redirect_destination,redirect_hops,declared_canonical,robots,in_current_sitemap,gsc_indexing_reason,gsc_clicks_before,gsc_clicks_after,gsc_impressions_before,gsc_impressions_after,position_before,position_after,internal_inlinks,business_value,notes
https://dreamlab.id/produk/bodycare/,https://dreamlab.id/produk/bodycare/,sitemap+livelist,product-category,product-listing,commercial,MOFU,200,,0,self,index,YES,indexed,0,0,19,13,20.9,15.1,42,4,Needs canonical check
https://dreamlab.id/produk/haircare/,https://dreamlab.id/produk/haircare/,sitemap+livelist,product-category,product-listing,commercial,MOFU,200,,0,self,index,YES,indexed,0,0,7,8,26.6,51.4,42,3,Low visibility
https://dreamlab.id/produk/babycare/,https://dreamlab.id/produk/babycare/,sitemap+livelist,product-category,product-listing,commercial,MOFU,200,,0,self,index,YES,indexed,0,3,37,47,24.4,14.1,18,4,Growing
https://dreamlab.id/produk/decorative/,https://dreamlab.id/produk/decorative/,sitemap+livelist,product-category,product-listing,commercial,MOFU,200,,0,self,index,YES,indexed,0,0,6,8,4.2,23.4,14,3,Low visibility
https://dreamlab.id/produk/footcare/,https://dreamlab.id/produk/footcare/,sitemap+livelist,product-category,product-listing,commercial,MOFU,200,,0,self,index,YES,indexed,0,0,2,5,18.5,59.8,14,2,Niche
https://dreamlab.id/produk/pkrt/,https://dreamlab.id/produk/pkrt/,sitemap+livelist,product-category,product-listing,commercial,MOFU,200,,0,self,index,YES,indexed,0,0,7,11,14,11.5,10,3,Niche but growing
https://dreamlab.id/category/maklon-kosmetik/,https://dreamlab.id/category/maklon-kosmetik/,sitemap+livelist,category,category-hub,commercial,MOFU,200,,0,self,index,YES,indexed,0,0,0,0,0,0,307,4,Category hub
https://dreamlab.id/category/panduan-bisnis-kosmetik/,https://dreamlab.id/category/panduan-bisnis-kosmetik/,sitemap+livelist,category,category-hub,commercial,MOFU,200,,0,self,index,YES,indexed,0,0,0,0,0,0,322,4,Category hub
https://dreamlab.id/category/dreamlabpedia/,https://dreamlab.id/category/dreamlabpedia/,sitemap+livelist,category,category-hub,informational,TOFU,200,,0,self,index,YES,indexed,0,0,1,0,1,0,47,3,Category hub
https://dreamlab.id/pabrik-parfum-jakarta/,https://dreamlab.id/pabrik-parfum-jakarta/,sitemap+livelist,location,service,commercial,MOFU,200,,0,self,index,YES,indexed,0,1,49,34,20.6,22.2,62,5,Key location page
https://dreamlab.id/perusahaan-maklon-kosmetik/,https://dreamlab.id/perusahaan-maklon-kosmetik/,sitemap+livelist,service,company-profile,commercial,MOFU,200,,0,self,index,YES,indexed,0,0,21,26,15.0,15.0,67,5,Important company page
