url,title_slug,historical_clicks,historical_impressions,current_clicks,current_impressions,position,business_relevance,b2b_b2c,leads,backlinks,content_overlap,indexing_status,decision,priority,notes
https://dreamlab.id/lulur-vs-hb-dosting/,lulur-vs-hb-dosting,1,691,1,346,5.4,LOW,B2C,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,Good engagement; B2C but authority builder
https://dreamlab.id/cara-hitunghpp-produk-kosmeti/,cara-hitunghpp-produk-kosmeti,2,284,1,156,5.2,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP_AND_IMPROVE,P1,"High-value B2B commercial article; good position"
https://dreamlab.id/jasa-maklon-parfum-moq-rendah/,jasa-maklon-parfum-moq-rendah,4,81,1,50,7.2,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP_AND_IMPROVE,P1,B2B money page
https://dreamlab.id/urutan-pabrik-skincare-terbaik-indonesia/,urutan-pabrik-skincare-terbaik-indonesia,26,1340,18,690,7.6,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP_AND_IMPROVE,P0,"Top performing B2B page; growing impressions 650→690"
https://dreamlab.id/jenis-alkohol-dalam-parfum/,jenis-alkohol-dalam-parfum,6,820,3,481,8.1,MEDIUM,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,Informational with B2B angle
https://dreamlab.id/contoh-kalimat-iklan-kosmetik-unik/,contoh-kalimat-iklan-kosmetik-unik,2,477,0,291,8.0,MEDIUM,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,B2B marketing article
https://dreamlab.id/tren-cleanical-beauty-produk-skincare-paling-dicari-tahun-2026/,tren-cleanical-beauty,3,286,2,156,6.0,MEDIUM,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,Fresh article with growth
https://dreamlab.id/panduan-maklon-deodorant-bpom/,panduan-maklon-deodorant-bpom,4,92,4,50,6.6,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP_AND_IMPROVE,P1,B2B money page growing
https://dreamlab.id/parfum-pheromone-bisnis-parfum/,parfum-pheromone-bisnis-parfum,1,177,1,122,7.3,MEDIUM,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,B2B growth article
https://dreamlab.id/affiliate-kol-brand-skincare/,affiliate-kol-brand-skincare,0,115,0,70,9.1,MEDIUM,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,B2B growing article
https://dreamlab.id/ide-bisnis-kosmetik-2026/,ide-bisnis-kosmetik-2026,1,63,0,33,10.2,HIGH,B2B,DATA_MISSING,DATA_MISSING,/ide-bisnis-kosmetik/,INDEXED,MERGE,P2,"Merge with /ide-bisnis-kosmetik/ or 301 redirect"
https://dreamlab.id/perbedaan-edp-edt/,perbedaan-edp-edt,0,157,0,81,13.1,MEDIUM,B2C,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,B2C informational
https://dreamlab.id/cara-membuat-deodorant-balm-custom/,cara-membuat-deodorant-balm-custom,0,6,0,1,7.0,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP_AND_IMPROVE,P1,B2B but very low traffic
https://dreamlab.id/parfum-arab-ide-bisnis-2026/,parfum-arab-ide-bisnis-2026,2,17,0,7,5.4,MEDIUM,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,B2B potential
https://dreamlab.id/maklon-kosmetik-tangerang-terpercaya/,maklon-kosmetik-tangerang-terpercaya,2,80,0,38,12.2,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP_AND_IMPROVE,P1,B2B location page
https://dreamlab.id/jasa-maklon-kosmetik-bandung/,jasa-maklon-kosmetik-bandung,0,88,0,47,10.1,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP_AND_IMPROVE,P1,B2B location page
https://dreamlab.id/jasa-maklon-lipstik-bpom-terpercaya/,jasa-maklon-lipstik-bpom-terpercaya,3,99,3,37,6.8,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP_AND_IMPROVE,P1,B2B money page
https://dreamlab.id/cara-membuka-offline-store-kosmetik-2026/,cara-membuka-offline-store-kosmetik-2026,2,121,1,63,7.1,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP_AND_IMPROVE,P1,B2B commercial
https://dreamlab.id/tren-sunscreen-2025-6-produk-yang-siap-jadi-bisnis/,tren-sunscreen-2025,1,16,0,10,4.7,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,UPDATE_CONTENT,P2,Outdated 2025 date; B2B potential
https://dreamlab.id/biaya-maklon-parfum-moq-kecil/,biaya-maklon-parfum-moq-kecil,3,160,2,84,7.4,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP_AND_IMPROVE,P1,B2B money page growing
https://dreamlab.id/peluang-bisnis-skincare-irt/,peluang-bisnis-skincare-irt,2,69,3,43,8.4,MEDIUM,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,B2B targeting IRT segment
https://dreamlab.id/maklon-skincare-nad-plus-anti-aging/,maklon-skincare-nad-plus,0,36,0,18,7.9,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP_AND_IMPROVE,P1,B2B niche
